emp;mue;rep;c
1;1;1;527
1;1;2;821
1;2;1;107
1;2;2;299
1;3;1;1382
1;3;2;3524
2;1;1;2813
2;1;2;2322
2;2;1;3901
2;2;2;4422
2;3;1;383
2;3;2;479
3;1;1;703
3;1;2;652
3;2;1;745
3;2;2;995
3;3;1;2202
3;3;2;1298
4;1;1;1617
4;1;2;2629
4;2;1;103
4;2;2;96
4;3;1;2103
4;3;2;8814
5;1;1;4169
5;1;2;2907
5;2;1;4018
5;2;2;882
5;3;1;768
5;3;2;271
7;1;1;1612
7;1;2;1680
7;2;1;6619
7;2;2;4028
7;3;1;5625
7;3;2;6507
9;1;1;619
9;1;2;520
9;2;1;813
9;2;2;956
9;3;1;1219
9;3;2;923
11;1;1;1682
11;1;2;3235
11;2;1;2963
11;2;2;2249
11;3;1;457
11;3;2;2950
12;1;1;6050
12;1;2;3956
12;2;1;2782
12;2;2;7501
12;3;1;1952
12;3;2;1299
13;1;1;1330
13;1;2;758
13;2;1;132
13;2;2;93
13;3;1;1116
13;3;2;3186
14;1;1;1834
14;1;2;1200
14;2;1;18248
14;2;2;9496
14;3;1;252
14;3;2;433
15;1;1;2339
15;1;2;4057
15;2;1;106
15;2;2;146
15;3;1;430
15;3;2;442
17;1;1;1147
17;1;2;3437
17;2;1;132
17;2;2;175
17;3;1;719
17;3;2;1243
18;1;1;3440
18;1;2;3185
18;2;1;712
18;2;2;467
18;3;1;680
18;3;2;205
19;1;1;8196
19;1;2;4565
19;2;1;1459
19;2;2;1292
19;3;1;9707
19;3;2;8138
20;1;1;1090
20;1;2;1037
20;2;1;4188
20;2;2;1859
20;3;1;8464
20;3;2;14073
